strategy,image_path,split,temperature_c,temperature_bin,quality_flag,source_manifest,source_width,source_height,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,center_x_224,center_y_224,tip_x_224,tip_y_224,preprocessing_mode,resize_method,channel_strategy,normalization,source_kind,jitter_seed
identity,ml/data/raw/PXL_20260125_114848028.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,374,730,3472,4290,3098,3560,100.43847643641058,110.21932584269662,36.59341510652034,102.84494382022471,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114848028.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,414,767,3427,4240,3013,3473,100.29817457683372,110.59395335444859,34.6519747759708,103.03484019579614,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1545052023
identity,ml/data/raw/PXL_20260125_114848857.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,173,761,2911,3875,2738,3114,103.45887509130752,100.70648683365447,34.3526661796932,101.91496467565834,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114848857.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,180,790,2897,3853,2717,3063,103.68141332351857,100.26248775710087,34.04107471475892,101.49108716944173,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,547328271
identity,ml/data/raw/PXL_20260125_114851923.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,0,264,3160,3102,3160,2838,114.80070886075949,138.0157293868922,35.23746835443038,135.56025369978857,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114851923.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,0,264,3160,3102,3160,2838,114.80070886075949,138.0157293868922,35.23746835443038,135.56025369978857,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,2126996168
identity,ml/data/raw/PXL_20260125_114857049.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,269,752,2776,3210,2507,2458,113.8227363382529,115.7545972335232,38.34894295971281,110.30496338486574,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114857049.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,258,750,2780,3205,2522,2455,114.12275971451231,116.07853360488798,39.09785884218874,110.62224032586559,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,955794088
identity,ml/data/raw/PXL_20260125_114859876.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,33,258,3472,3880,3439,3622,115.81041000290783,115.61789066813914,37.09450421634196,112.5133075648813,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114859876.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,83,312,3411,3833,3328,3521,116.30769230769232,115.4990059642147,34.96634615384615,112.30536779324058,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1026816910
identity,ml/data/raw/PXL_20260125_114901695.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,266,1288,3168,3762,2902,2474,111.49827705031014,93.34842360549717,37.420813232253614,94.00032336297492,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114901695.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,276,1289,3149,3760,2873,2471,111.84406543682562,93.37110481586402,37.018865297598325,94.02379603399432,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1083509134
identity,ml/data/raw/PXL_20260125_114908265.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,204,422,3173,3547,2969,3125,123.40747726507242,114.358272,40.175143145840345,114.193408,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114908265.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,230,433,3152,3521,2922,3088,123.39931553730321,114.93056994818653,38.82819986310746,114.76373056994818,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1251001413
identity,ml/data/raw/PXL_20260125_114912074.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,196,898,2670,3578,2474,2680,122.86499595796282,103.3576119402985,38.52546483427648,97.3313432835821,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114912074.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,204,909,2659,3558,2455,2649,123.08594704684316,103.63699509248772,38.09368635437882,97.54020385050963,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1188626511
identity,ml/data/raw/PXL_20260125_114912923.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,500,1140,2642,3658,2142,2518,118.8078431372549,99.82144559173946,27.200000000000003,92.42001588562351,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114912923.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,486,1127,2645,3682,2159,2555,119.32487262621582,99.51561643835616,28.438351088466888,92.2213698630137,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1094029748
identity,ml/data/raw/PXL_20260125_114913726.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,550,1001,2409,3575,1859,2574,118.1813878429263,99.12913752913752,12.627864443249054,95.2739704739705,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114913726.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,550,1004,2416,3569,1866,2565,117.7380493033226,99.21497076023391,12.580493033226148,95.34627680311891,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,2137820579
identity,ml/data/raw/PXL_20260125_114922671.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,294,900,3060,3718,2766,2818,111.38452639190167,109.5914833215046,36.8474331164136,99.90177430801988,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114922671.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,282,902,3065,3723,2783,2821,111.66999640675532,109.31612903225805,37.588214157384115,99.63672456575684,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1734444720
identity,ml/data/raw/PXL_20260125_114925061.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,354,935,2823,3541,2469,2606,103.24503847711624,111.69056024558711,33.32328878088295,108.35548733691479,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114925061.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,312,899,2862,3572,2550,2673,103.65490196078431,111.90781893004116,35.954196078431366,108.65634118967452,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1702228508
identity,ml/data/raw/PXL_20260125_114926493.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,1072,2831,3919,2831,2847,115.8612504415401,118.93951527924129,35.58205581066761,115.8867579908676,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114926493.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,1072,2831,3919,2831,2847,115.8612504415401,118.93951527924129,35.58205581066761,115.8867579908676,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1503827930
identity,ml/data/raw/PXL_20260125_114936296.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,281,895,3046,3727,2765,2832,114.7220253164557,113.83502824858756,37.46835443037975,106.37627118644069,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114936296.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,243,867,3075,3760,2832,2893,115.0135593220339,113.60276529554096,39.58757062146893,106.30127894918769,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1336119720
identity,ml/data/raw/PXL_20260125_114941106.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,431,3338,4057,3338,3626,109.0540443379269,113.46409266409266,23.849490713001796,110.72123552123554,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114941106.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,26,444,3313,4039,3287,3595,108.9742622452084,113.63248956884561,22.447703072710677,110.86598052851183,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,732347574
identity,ml/data/raw/PXL_20260125_114944228.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,76,1012,2928,3875,2852,2863,116.43758765778402,112.12518337408312,40.66872370266479,110.81858190709048,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114944228.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,104,1049,2903,3835,2799,2786,116.40157198999643,112.24924623115577,39.19799928545909,110.9065326633166,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,2123775744
identity,ml/data/raw/PXL_20260125_114949989.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,744,3196,4153,3196,3409,108.45356695869839,113.95811088295689,28.791989987484357,108.12977412731006,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114949989.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,38,797,3143,4113,3105,3316,108.890692431562,113.57394451145959,26.894428341384863,107.58214716525934,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1001222388
identity,ml/data/raw/PXL_20260125_114959197.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,1388,2778,3886,2778,2498,113.59654427645788,94.79199359487589,39.389488840892724,85.34059247397917,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114959197.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,1388,2778,3886,2778,2498,113.59654427645788,94.79199359487589,39.389488840892724,85.34059247397917,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,462371908
identity,ml/data/raw/PXL_20260125_115007049.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,304,952,2859,4230,2555,3278,94.43068493150685,104.29871873093352,32.210410958904106,106.19841366687004,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_115007049.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,313,949,2853,4234,2540,3285,94.19464566929133,104.28103500761037,31.60692913385827,106.17668188736681,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1814811279
identity,ml/data/raw/PXL_20260125_115011316.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,208,1755,2654,3754,2446,1999,112.0,94.72096048024014,40.41340964840556,88.51305652826414,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_115011316.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,238,1777,2631,3739,2393,1962,111.67237776849143,93.9955147808359,38.50029251984956,87.67054026503568,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,344052722
identity,ml/data/raw/PXL_20260125_115028857.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,0,903,2973,4098,2973,3195,106.14571140262362,112.0,22.60343087790111,100.34078247261345,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_115028857.jpg,train,-17.5,cold,clean,gauge_1_batch_2.zip,3472,4624,33,941,2929,4065,2896,3124,106.41546961325966,111.82074263764405,20.651933701657455,99.89654289372598,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1841358261
