epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
11 ,0,0,0,0,0,0,6912,0,6912,41472,0,41472,0,301056,301056,0,47040,47040,0,0,0,0,0,0,155648,0,155648,0,0,0,0,0,0,0,0,0,1048576,0,1048576,352000,0,352000,0,0,0,0,0,0,0,0,0,0,0,0,1204224,0,6912,301056,44255232,0.0486634,1204224,0.109248,1204224,0.0455134,51.5908,0.0895415,6.64532,0.00960038
12 ,0,0,0,0,0,0,2304,0,2304,13824,0,13824,301056,0,301056,47040,0,47040,0,0,0,0,0,0,0,75264,75264,0,11760,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77568,75264,225792,0,14601216,0.0160556,75264,0.006828,75264,0.00284459,84.2651,0.0091407,29.3159,0.00264702
13 ,0,0,0,0,0,0,3456,0,3456,20736,0,20736,0,0,0,0,0,0,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,451584,451584,0,23030784,0.0253248,451584,0.040968,451584,0.0170675,43.4884,0.0283046,10.3667,0.00561621
14 ,0,0,0,0,0,0,10368,0,10368,62208,0,62208,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,461952,0,66382848,0.0729951,451584,0.040968,451584,0.0170675,48.7588,0.0317348,13.734,0.00744049
15 ,0,0,0,0,0,0,3456,0,3456,6912,0,6912,451584,0,451584,23520,0,23520,0,75264,75264,0,11760,11760,75264,0,75264,11760,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301056,0,229248,75264,21901824,0.0240834,75264,0.006828,75264,0.00284459,66.294,0.00719127,46.5815,0.00420597
16 ,0,0,0,0,0,0,3456,0,3456,20736,0,20736,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,3456,451584,23030784,0.0253248,451584,0.040968,451584,0.0170675,43.4884,0.0283046,10.3667,0.00561621
17 ,0,0,0,0,0,0,10368,0,10368,62208,0,62208,451584,0,451584,70560,0,70560,0,112896,112896,0,17640,17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10368,112896,451584,0,16595712,0.0182488,451584,0.040968,451584,0.0170675,29.4259,0.019152,10.6963,0.0057948
18 ,0,0,0,0,0,0,4608,0,4608,9216,0,9216,0,25088,25088,0,3920,3920,225792,0,225792,11760,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112896,25088,117504,0,7275520,0.00800022,37632,0.003414,37632,0.00142229,48.998,0.00265754,57.4354,0.002593
19 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,6144,150528,10085376,0.01109,150528,0.013656,150528,0.00568917,62.8638,0.0136384,19.2068,0.00346848
20 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,150528,301056,23520,23520,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,164352,0,22127616,0.0243317,150528,0.013656,150528,0.00568917,53.165,0.0115342,28.8871,0.00521659
21 ,0,0,0,0,0,0,6144,0,6144,12288,0,12288,326144,25088,351232,19600,3920,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,25088,181760,0,9709056,0.0106761,50176,0.004552,54880,0.00207418,48.6304,0.00351681,59.0768,0.00355613
22 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,150528,200704,0,10085376,0.01109,150528,0.013656,150528,0.00568917,62.8638,0.0136384,19.2068,0.00346848
23 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,150528,301056,23520,23520,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164352,0,0,150528,22127616,0.0243317,150528,0.013656,150528,0.00568917,53.165,0.0115342,28.8871,0.00521659
24 ,0,0,0,0,0,0,6144,0,6144,12288,0,12288,326144,25088,351232,19600,3920,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,25088,181760,0,9709056,0.0106761,50176,0.004552,54880,0.00207418,48.6304,0.00351681,59.0768,0.00355613
25 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,150528,200704,0,10085376,0.01109,150528,0.013656,150528,0.00568917,62.8638,0.0136384,19.2068,0.00346848
26 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,37632,188160,23520,5880,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13824,37632,150528,0,5531904,0.00608292,150528,0.013656,150528,0.00568917,33.8322,0.00733993,25.8494,0.00466802
27 ,0,0,0,0,0,0,12288,0,12288,24576,0,24576,150528,12544,163072,7840,1960,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75264,12544,87552,0,4841984,0.00532428,25088,0.002276,73728,0.00278653,54.5947,0.00197406,137.577,0.00414072
28 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,74752,75264,9859584,0.0108417,75264,0.006828,147456,0.00557307,125.902,0.0136573,88.241,0.00796752
29 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648,75264,75264,0,11063808,0.0121658,75264,0.006828,165888,0.0062697,70.79,0.00767898,89.4993,0.00808114
30 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137472,12544,200704,0,9671424,0.0106348,33451,0.0030347,147456,0.00557307,78.2602,0.00377307,206.581,0.00829021
31 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,75264,150528,0,9859584,0.0108417,75264,0.006828,147456,0.00557307,125.902,0.0136573,88.241,0.00796752
32 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75264,102912,0,11063808,0.0121658,75264,0.006828,165888,0.0062697,70.79,0.00767898,89.4993,0.00808114
33 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137472,12544,200704,0,9671424,0.0106348,33451,0.0030347,147456,0.00557307,78.2602,0.00377307,206.581,0.00829021
34 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,74752,75264,9859584,0.0108417,75264,0.006828,147456,0.00557307,125.902,0.0136573,88.241,0.00796752
35 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102912,0,0,75264,11063808,0.0121658,75264,0.006828,165888,0.0062697,70.79,0.00767898,89.4993,0.00808114
36 ,0,0,0,0,0,0,24576,0,24576,49152,0,49152,313600,12544,326144,17638,1960,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,137472,12544,9671424,0.0106348,33451,0.0030347,147456,0.00557307,78.2602,0.00377307,206.581,0.00829021
37 ,0,0,0,0,0,0,24576,0,24576,147456,0,147456,200704,75264,275968,31360,11760,43120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,74752,75264,9859584,0.0108417,75264,0.006828,147456,0.00557307,125.902,0.0136573,88.241,0.00796752
38 ,0,0,0,0,0,0,27648,0,27648,165888,0,165888,75264,75264,150528,11760,11760,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102912,0,0,75264,11063808,0.0121658,75264,0.006828,165888,0.0062697,70.79,0.00767898,89.4993,0.00808114
39 ,0,0,0,0,0,0,36864,0,36864,73728,0,73728,301056,18816,319872,15678,2940,18618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,137216,18816,14488320,0.0159315,33451,0.0030347,221184,0.0083596,103.282,0.00497944,286.419,0.0114941
40 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,506880,112896,22014720,0.0242075,112896,0.010242,525312,0.0198541,164.569,0.0267776,205.807,0.0278743
41 ,0,0,0,0,0,0,73728,0,73728,345600,0,345600,112896,112896,225792,17640,17640,35280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,154368,112896,16595712,0.0182488,112896,0.010242,442368,0.0167192,78.5069,0.0127741,164.97,0.0223434
42 ,0,0,0,0,0,0,55296,0,55296,110592,0,110592,545664,112896,658560,32340,10290,42630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281088,37632,319872,0,21732480,0.0238972,50176,0.004552,331776,0.0125394,104.981,0.00759188,301.943,0.0181755
43 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619776,0,338688,112896,22014720,0.0242075,112896,0.010242,525312,0.0198541,164.569,0.0267776,205.807,0.0278743
44 ,0,0,0,0,0,0,73728,0,73728,345600,0,345600,112896,112896,225792,17640,17640,35280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,154368,112896,16595712,0.0182488,112896,0.010242,442368,0.0167192,78.5069,0.0127741,164.97,0.0223434
45 ,0,0,0,0,0,0,55296,0,55296,110592,0,110592,545664,112896,658560,32340,10290,42630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299904,18816,301056,18816,21732480,0.0238972,50176,0.004552,331776,0.0125394,104.981,0.00759188,301.943,0.0181755
46 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338688,112896,619776,0,22014720,0.0242075,112896,0.010242,525312,0.0198541,164.569,0.0267776,205.807,0.0278743
47 ,0,0,0,0,0,0,57600,0,57600,297216,0,297216,112896,28224,141120,17640,4410,22050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112896,0,154368,28224,4148928,0.00456219,112896,0.010242,345600,0.0130619,55.5521,0.00903906,120.801,0.0163612
48 ,0,0,0,0,0,0,92160,0,92160,184320,0,184320,257152,47040,304192,14210,4287,18497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198784,7840,150528,7840,9047360,0.00994854,30720,0.00278694,552960,0.020899,130.772,0.00579004,704.982,0.0259815
49 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343720,47040,194040,47040,15193920,0.0167073,153600,0.0139347,1082880,0.0409272,152.621,0.0337871,275.42,0.0507518
50 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188160,0,116160,47040,6914880,0.00760365,69120,0.00627061,576000,0.0217698,113.643,0.0113212,319.389,0.0264843
51 ,0,0,0,0,0,0,153600,0,153600,307200,0,307200,415520,47040,462560,23275,4287,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227360,7840,341760,7840,15076320,0.016578,51200,0.0046449,921600,0.0348317,141.337,0.0104297,701.319,0.0430775
52 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194040,47040,343720,47040,15193920,0.0167073,153600,0.0139347,1082880,0.0409272,152.621,0.0337871,275.42,0.0507518
53 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116160,47040,188160,0,6914880,0.00760365,69120,0.00627061,576000,0.0217698,113.643,0.0113212,319.389,0.0264843
54 ,0,0,0,0,0,0,153600,0,153600,307200,0,307200,415520,47040,462560,23275,4287,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341760,7840,227360,7840,15076320,0.016578,51200,0.0046449,921600,0.0348317,141.337,0.0104297,701.319,0.0430775
55 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343720,47040,194040,47040,15193920,0.0167073,153600,0.0139347,1082880,0.0409272,152.621,0.0337871,275.42,0.0507518
56 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188160,0,116160,47040,6914880,0.00760365,69120,0.00627061,576000,0.0217698,113.643,0.0113212,319.389,0.0264843
57 ,0,0,0,0,0,0,307200,0,307200,614400,0,614400,815360,94080,909440,44100,8575,52675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683520,0,439040,31360,30136960,0.0331388,102400,0.0092898,1843200,0.0696634,140.765,0.0207749,700.609,0.0860679
58 ,0,0,0,0,0,0,445440,0,445440,2565120,0,2565120,517440,565760,1083200,41648,44300,85948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664400,62720,513520,1280,40267520,0.0442785,409600,0.0371592,2672640,0.101012,132.991,0.0785102,252.48,0.124066
59 ,0,0,0,0,0,0,163840,0,163840,327678,0,327678,10240,128,10368,533,20,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,128,10240,0,328192,0.000360882,54614,0.00495462,983040,0.0371538,74.7283,0.00588212,660.87,0.0432998
60 ,0,0,0,0,0,0,128,0,128,252,0,252,128,1,129,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,128,0,258,2.83699e-07,43,3.90099e-06,768,2.90264e-05,70.8314,4.38974e-06,668.674,3.44944e-05
61 ,0,0,0,0,0,0,20,0,20,48,0,48,76,151,227,11,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.19921e-09,160,1.45153e-05,160,6.04717e-06,0,0,0,0
62 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
64 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
65 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
66 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
67 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
68 ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,4.39843e-09,1,9.07207e-08,1,3.77948e-08,12.1727,1.75442e-08,0,0
69 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.09961e-09,1,9.07207e-08,1,3.77948e-08,5.95622,8.58451e-09,0,0
