image_path,source_width,source_height,center_x_source,center_y_source,tip_x_source,tip_y_source,temperature_c,label_quality,quality_flag,notes,label_source,origin_manifest,angle_source,true_angle_degrees,center_tip_distance_pixels,crop_x_min,crop_y_min,crop_x_max,crop_y_max
ml/data/captured_images/capture_2026-04-29_09-42-36.png,224,224,116.8,94.171429,113.6,68.342857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,262.937397,26.026047,23,57,178,180
ml/data/captured_images/capture_2026-04-30_12-19-11.png,224,224,129.371429,89.6,125.257143,55.542857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,263.111742,34.304757,23,57,178,180
ml/data/captured_images/capture_2026-05-23_08-57-35.yuv422,224,224,111.314286,108.8,102.628571,72.914286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,256.393897,36.921892,23,57,178,180
ml/data/captured_images/capture_2026-05-23_09-03-19.yuv422,224,224,112,107.885714,102.628571,72.457143,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,255.183681,36.647065,23,57,178,180
ml/data/captured_images/capture_2026-05-26_09-18-30.yuv422,224,224,113.142857,108.342857,107.2,70.857143,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,260.991496,37.953871,23,57,178,180
ml/data/captured_images/capture_2026-05-26_09-38-53.yuv422,224,224,106.742857,109.257143,101.714286,72.914286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,262.1223,36.689096,23,57,178,180
ml/data/captured_images/capture_2026-05-27_16-53-57.png,224,224,107.2,114.742857,107.2,82.971429,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,270,31.771429,23,57,178,180
ml/data/captured_images/capture_2026-05-28_06-41-45.yuv422,224,224,113.142857,112.685714,106.057143,82.971429,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,256.587642,30.547441,23,57,178,180
ml/data/captured_images/capture_2026-05-28_07-25-52.yuv422,224,224,106.057143,110.4,97.142857,74.742857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,255.963757,36.754542,23,57,178,180
ml/data/captured_images/capture_2026-05-29_20-49-06.yuv422,224,224,119.314286,111.542857,109.942857,83.2,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,251.703782,29.851989,23,57,178,180
ml/data/captured_images/capture_2026-05-30_11-57-04.yuv422,224,224,120,103.085714,114.514286,72.228571,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,259.919402,31.340969,23,57,178,180
ml/data/captured_images/capture_2026-05-30_12-08-36.yuv422,224,224,120.685714,103.085714,114.057143,72.228571,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,257.876262,31.561071,23,57,178,180
ml/data/captured_images/capture_2026-05-31_08-33-15.yuv422,224,224,120.685714,102.628571,112.914286,73.142857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,255.234577,30.492662,23,57,178,180
ml/data/captured_images/capture_2026-05-31_09-00-26.yuv422,224,224,121.142857,102.857143,112.685714,71.542857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,254.886527,32.436211,23,57,178,180
ml/data/captured_images/capture_2026-06-01_09-29-01.yuv422,224,224,120,103.314286,114.285714,74.514286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,258.777542,29.361421,23,57,178,180
ml/data/captured_images/capture_2026-06-01_09-35-00.yuv422,224,224,120.457143,104.457143,113.828571,74.285714,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,257.609143,30.890987,23,57,178,180
ml/data/captured_images/capture_2026-06-02_11-15-36.yuv422,224,224,133.714286,128.228571,129.828571,91.657143,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,263.935078,36.777278,23,57,178,180
ml/data/captured_images/capture_2026-06-02_11-17-37.yuv422,224,224,133.485714,127.542857,128.685714,91.2,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,262.47618,36.658468,23,57,178,180
ml/data/captured_images/capture_2026-06-03_16-12-14.yuv422,224,224,109.714286,113.371429,106.057143,82.514286,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,263.240919,31.073107,23,57,178,180
ml/data/captured_images/capture_2026-06-03_18-06-05.yuv422,224,224,109.942857,112.457143,106.971429,82.742857,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,264.289407,29.862488,23,57,178,180
ml/data/captured_images/capture_2026-06-04_10-59-41.yuv422,224,224,114.057143,111.314286,105.142857,84.571429,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,251.565051,28.189447,23,57,178,180
ml/data/captured_images/capture_2026-06-04_11-01-19.yuv422,224,224,113.371429,110.628571,105.142857,81.828571,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,254.054604,29.952452,23,57,178,180
ml/data/captured_images/capture_2026-06-07_11-15-23.yuv422,320,320,162.612245,149.877551,152.816327,106.44898,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,257.288867,44.519668,32,82,254,257
ml/data/captured_images/capture_2026-06-07_12-04-59.yuv422,320,320,162.938776,150.204082,152.489796,106.122449,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,256.664894,45.303107,32,82,254,257
ml/data/captured_images/capture_2026-06-08_19-44-32.yuv422,320,320,161.959184,157.061224,147.265306,114.612245,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,250.906508,44.920217,32,82,254,257
ml/data/captured_images/capture_2026-06-08_19-47-52.yuv422,320,320,162.612245,155.428571,146.612245,118.204082,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,246.740779,40.517436,32,82,254,257
ml/data/captured_images/capture_2026-06-12_11-15-57.yuv422,320,320,160.326531,166.530612,156.734694,116.571429,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,265.887771,50.088136,32,82,254,257
ml/data/captured_images/capture_2026-06-19_11-11-03.yuv422,320,320,159.020408,149.22449,150.530612,108.408163,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,258.250016,41.689917,32,82,254,257
ml/data/captured_images/today_converted/capture_2026-04-09_06-51-13.png,224,224,90.971429,92.114286,127.771429,67.885714,,manual,review,,manual_gui,/home/rishi_latchmepersad/Projects/embedded-gauge-reading-tinyml/tmp/board_center_tip_review_batch.csv,geometry,326.639689,44.059774,23,57,178,180
